City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Emerald,AU,89.6,scattered clouds,-23.5333,148.1667,The Irish Village
2,Manokwari,ID,82.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
8,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
9,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
11,Puerto Ayora,EC,77.43,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
12,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Sao Joao Da Barra,BR,77.2,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
25,Sambava,MG,75.4,scattered clouds,-14.2667,50.1667,Melrose
28,Patawag,PH,82.99,broken clouds,8.1064,122.6208,Banigan Beach
32,Saint-Philippe,RE,78.8,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Padang,ID,80.6,few clouds,-0.9492,100.3543,Mercure Padang
39,Rabaul,PG,81.5,light rain,-4.1967,152.1721,Rabaul Hotel
41,Mahibadhoo,MV,81.63,moderate rain,3.7833,72.9667,Omadhoo Inn
42,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
44,Acajutla,SV,78.51,clear sky,13.5928,-89.8275,asi es
45,Cidreira,BR,77.83,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
49,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
50,Kununurra,AU,87.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
58,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
59,Rikitea,PF,78.69,light rain,-23.1203,-134.9692,Pension Maro'i
68,Alice Springs,AU,87.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
69,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
73,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
75,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
78,San Cristobal,VE,84.2,few clouds,7.7669,-72.225,Pirineos
83,Cabrobo,BR,82.81,overcast clouds,-8.5142,-39.31,Hotel Limarques
89,Caravelas,BR,76.66,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
91,Bengkulu,ID,78.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
92,San Andres,CO,78.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
