,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,-15.99,74,100,1.01,overcast clouds
1,Emerald,AU,-23.5333,148.1667,89.6,37,40,10.36,scattered clouds
2,Manokwari,ID,-0.8667,134.0833,82.27,74,96,7.25,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,66.99,82,40,6.91,light rain
4,College,US,64.8569,-147.8028,-9.4,76,20,3.51,few clouds
5,Nouadhibou,MR,20.931,-17.0347,67.68,57,0,15.17,clear sky
6,Lebu,CL,-37.6167,-73.65,58.08,85,0,13.51,clear sky
7,Airai,TL,-8.9266,125.4092,68.79,89,99,4.18,overcast clouds
8,Vaini,TO,-21.2,-175.2,82.4,89,75,8.05,light rain
9,Kapaa,US,22.0752,-159.319,77.0,73,40,16.11,light rain
10,Barrow,US,71.2906,-156.7887,-23.8,69,1,14.97,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,77.43,84,100,7.54,overcast clouds
12,Hilo,US,19.7297,-155.09,78.8,61,90,11.5,light rain
13,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,0,3.44,clear sky
14,Mataura,NZ,-46.1927,168.8643,66.04,68,81,7.99,broken clouds
15,Hobart,AU,-42.8794,147.3294,69.01,51,75,9.22,broken clouds
16,Kaitangata,NZ,-46.2817,169.8464,64.99,74,49,25.99,scattered clouds
17,Fairbanks,US,64.8378,-147.7164,-9.4,70,1,3.65,clear sky
18,Khatanga,RU,71.9667,102.5,-20.67,87,100,4.65,overcast clouds
19,Hofn,IS,64.2539,-15.2082,31.84,94,100,15.88,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,59.0,63,90,25.32,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,53.6,76,75,31.07,light rain
22,Lompoc,US,34.6391,-120.4579,60.8,72,1,8.05,clear sky
23,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.2,85,83,15.55,broken clouds
24,Vredendal,ZA,-31.6683,18.5012,64.17,67,0,5.21,clear sky
25,Sambava,MG,-14.2667,50.1667,75.4,80,48,6.87,scattered clouds
26,Pancas,BR,-19.225,-40.8514,72.59,88,100,2.51,overcast clouds
27,Changde,CN,29.0464,111.6783,53.69,68,1,4.18,clear sky
28,Patawag,PH,8.1064,122.6208,82.99,73,77,13.91,broken clouds
29,Ambilobe,MG,-13.2,49.05,73.51,92,70,1.7,broken clouds
30,Rabo De Peixe,PT,37.8,-25.5833,53.6,76,20,29.93,few clouds
31,Sept-Iles,CA,50.2001,-66.3821,28.4,43,100,8.05,overcast clouds
32,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,40,6.91,scattered clouds
33,Upernavik,GL,72.7868,-56.1549,-7.17,87,100,4.5,overcast clouds
34,Moba,CN,33.2288,105.0179,35.91,83,89,4.83,overcast clouds
35,Padang,ID,-0.9492,100.3543,80.6,83,20,2.3,few clouds
36,East London,ZA,-33.0153,27.9116,70.45,77,3,8.93,clear sky
37,Jamestown,US,42.097,-79.2353,28.0,93,90,13.8,snow
38,Tilichiki,RU,60.4667,166.1,21.45,99,97,7.49,overcast clouds
39,Rabaul,PG,-4.1967,152.1721,81.5,77,95,8.03,light rain
40,Severo-Kurilsk,RU,50.6789,156.125,22.71,93,99,47.04,light snow
41,Mahibadhoo,MV,3.7833,72.9667,81.63,80,100,19.91,moderate rain
42,Tautira,PF,-17.7333,-149.15,82.4,89,20,12.66,light rain
43,Qasigiannguit,GL,68.8193,-51.1922,-5.8,65,0,23.02,clear sky
44,Acajutla,SV,13.5928,-89.8275,78.51,55,0,8.25,clear sky
45,Cidreira,BR,-30.1811,-50.2056,77.83,87,97,14.2,heavy intensity rain
46,Korla,CN,41.7597,86.1469,25.63,78,62,4.03,broken clouds
47,Nuuk,GL,64.1835,-51.7216,6.8,61,75,11.5,broken clouds
48,Saskylakh,RU,71.9167,114.0833,-2.47,91,100,13.76,light snow
49,Atuona,PF,-9.8,-139.0333,78.51,73,0,12.93,clear sky
50,Kununurra,AU,-15.7667,128.7333,87.8,84,100,3.44,overcast clouds
51,Mamit,IN,23.9333,92.4833,48.2,93,0,1.83,mist
52,Henties Bay,NA,-22.116,14.2845,64.99,87,31,5.3,scattered clouds
53,Donskoye,RU,45.4552,41.9741,48.2,40,0,6.71,clear sky
54,Kaifeng,CN,34.7911,114.3483,39.2,65,0,4.47,haze
55,Severnoye,RU,56.3491,78.3619,18.01,97,100,14.74,snow
56,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,3.44,clear sky
57,Bluff,NZ,-46.6,168.3333,58.98,80,89,10.94,overcast clouds
58,Ahuimanu,US,21.4447,-157.8378,78.8,57,20,6.91,few clouds
59,Rikitea,PF,-23.1203,-134.9692,78.69,75,0,15.66,light rain
60,Aksum,ET,14.1245,38.7244,49.46,49,0,4.25,clear sky
61,Beringovskiy,RU,63.05,179.3167,10.78,95,100,11.43,overcast clouds
62,Rocha,UY,-34.4833,-54.3333,69.6,96,97,3.13,light rain
63,Leningradskiy,RU,69.3833,178.4167,-4.4,88,100,20.18,overcast clouds
64,Chokurdakh,RU,70.6333,147.9167,-10.53,89,30,6.42,scattered clouds
65,Amazar,RU,53.858,120.875,-21.41,76,98,2.44,overcast clouds
66,Pafos,CY,34.7667,32.4167,57.2,67,100,3.56,overcast clouds
67,Norman Wells,CA,65.282,-126.8329,-20.2,76,75,3.44,light snow
68,Alice Springs,AU,-23.7,133.8833,87.8,14,0,13.8,clear sky
69,Sola,VU,-13.8833,167.55,84.2,89,75,19.53,broken clouds
70,Saint George,US,37.1041,-113.5841,62.6,45,1,5.75,clear sky
71,New Norfolk,AU,-42.7826,147.0587,69.01,42,36,3.0,scattered clouds
72,Nome,US,64.5011,-165.4064,10.99,61,90,19.57,overcast clouds
73,Souillac,MU,-20.5167,57.5167,78.8,83,20,1.14,few clouds
74,Sayyan,YE,15.1718,44.3244,40.15,65,0,3.74,clear sky
75,Pontianak,ID,-0.0333,109.3333,77.0,88,40,8.05,scattered clouds
76,Vostok,RU,46.4856,135.8833,-20.97,84,100,11.59,overcast clouds
77,Olafsvik,IS,64.8945,-23.7142,34.02,85,100,12.93,overcast clouds
78,San Cristobal,VE,7.7669,-72.225,84.2,61,20,4.61,few clouds
79,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,0,5.75,clear sky
80,Victoria,HK,22.2855,114.1577,66.0,65,24,4.0,few clouds
